"user_id","average_useful","total_useful","extreme_ratings","extreme_ratings_ratio","average_word_count","fans","average_stars","elite","review_count","compliments"
"b'--Cw-bY83NHNxDzAXkOJmw'",0,0,1,1,110,0,1,0,2,0
"b'--JHZJk3QKrFfXIZQW1xLA'",0,0,0,0,28,1,4.5,0,2,0
"b'--SXoMTx1URLFR_9e4shqw'",0,0,2,1,42,0,5,0,1,1
"b'--V_Sn5VN3CX5hLKFt1Xsw'",1,1,1,1,61,0,5,0,1,0
"b'--YAJk2uKkCBFz3RVq5xmQ'",0,0,1,1,11,0,5,0,1,0
"b'--_H9j6ggxvqhh9nPofZwg'",1.29310344827586,75,28,0.482758620689655,153.362068965517,13,4.28,1,179,116
"b'--gkiF9vEWQOPws16XWjpg'",0,0,2,0.666666666666667,73,0,1.25,0,4,0
"b'-0PQBNgYk5tNECnz0z8ZtA'",0.2,1,3,0.6,36.6,0,2.36,0,10,0
"b'-0QymBa3nncGoPaFxpv6kw'",0,0,1,1,17,0,1,0,1,0
"b'-0RBvM1n9HlYTi8laa4ptg'",3,3,1,1,60,0,2.33,0,2,1
"b'-0RovUwYKZ5ztSEUGSJ83A'",1,1,1,1,194,0,1,0,1,0
"b'-0imbVq0mKWjU-m69Vn5Cw'",0,0,1,1,47,0,5,0,1,0
"b'-0qYYBpBXdkyfEFh07VzvQ'",0.142857142857143,1,3,0.428571428571429,24.2857142857143,0,3.86,0,7,2
"b'-178kAC8_crCx7dUpbWRZg'",2.5,10,2,0.5,101.75,0,2.33,0,5,1
"b'-1M3sFN4ZOCR59-mYJr65A'",1.33333333333333,4,1,0.333333333333333,68.6666666666667,9,3.58,1,77,39
"b'-1bHOEbA38FCKrM-vA-1Og'",9,9,1,1,283,0,1,0,1,0
"b'-1tdGcWjpq1XN63PwhjDgQ'",0,0,1,1,160,0,5,0,1,0
"b'-2BR_6N9rJevM_f-DE1oyg'",0,0,3,1,87.3333333333333,0,3.18,0,7,0
"b'-2PZ0c4R3WFL--Bolf7bpQ'",0,0,1,0.5,74,0,3.5,0,4,0
"b'-2RaNEqVW6SQ94hi_y4eMA'",0,0,1,1,120,0,2.5,0,7,0
"b'-2U8X6XX1NV1mYX-2MCtKg'",1.82142857142857,102,38,0.678571428571429,191.446428571429,8,4.31,0,71,27
"b'-2YuVjJ27Ltsv4xDkgYPIg'",0.5,1,2,1,37,0,5,0,2,0
"b'-2gtgPlg0LTwQ1VH1vaGyQ'",0,0,1,1,53,0,4.67,0,3,0
"b'-2vWdAOu6452nJsR1Jb1dw'",2,2,0,0,278,0,4,0,1,3
"b'-2zeaby7CmyAb6AIjX0cmw'",2.76923076923077,36,11,0.846153846153846,103.307692307692,0,2.89,0,17,6
"b'-31zwqqSBFquCFaWy5jxtQ'",0,0,1,1,131,0,1,0,1,0
"b'-3YAXHUF_jschb0JTCePUQ'",3,9,2,0.666666666666667,153.333333333333,0,2.75,0,4,0
"b'-3yVVhgmMlJKFaeGDuhFCw'",0,0,1,1,35,0,1,0,3,0
"b'-420a42DN_Ucu-JqPhENYw'",0.5,1,1,0.5,46,0,2.5,0,2,0
"b'-47FreuXtiXOQd_BLS0bug'",1,1,0,0,224,0,4,0,1,0
"b'-4FlcBJdfXrbuFzkLk6yFw'",3,3,1,1,49,0,5,0,2,0
"b'-4KQbT3BDJrzVSUV1LlIcg'",1.33333333333333,8,0,0,172.833333333333,47,3.65,1,378,201
"b'-4Zu0kF28duhZQvbeHQciA'",0,0,1,1,282,0,1,0,1,0
"b'-4bs03lmO8Wr5Fxq1Rldtg'",0,0,1,1,81,0,1,0,1,0
"b'-4oqW6DNxx2xfbXnPdPpDQ'",5,10,1,0.5,148,0,1.33,0,2,1
"b'-4wLoFiWjt0B0cHmhrcjQQ'",0.333333333333333,1,3,1,29.3333333333333,1,4.64,0,10,0
"b'-58dtv33vrX4ahQAykb6bA'",0,0,1,1,42,0,1,0,1,0
"b'-5GMYE08rprp6Rvm0b_NEA'",0,0,1,1,72,0,1,0,1,0
"b'-5M-SqIHX0y8zN8Ub6zCDw'",2,4,2,1,63.5,0,5,0,2,0
"b'-5XlcykhA08Dd2YYnKylmQ'",1,1,1,1,47,0,1,0,1,0
"b'-61g2pOyq8fdmPWM6GuF1w'",1.33333333333333,4,2,0.666666666666667,67.3333333333333,0,3.75,0,4,0
"b'-69hAKd7Vqjtr8cj-Xs8Xw'",0,0,0,0,144,0,3,0,1,0
"b'-6BlaAIxnI5FFjG1dg25aw'",0,0,0,0,90,2,3.53,0,99,7
"b'-6Eav0g-SjhUrRmtQSdFJw'",1,2,2,1,28.5,0,5,0,2,0
"b'-6IdytcRjsiwA1PYeNcHsg'",0,0,1,1,31,1,4.86,0,13,0
"b'-6XANB0k4KzMqKycdfdaXw'",0,0,1,1,123,0,1,0,1,0
"b'-6bkYGD5J7szG0JAblLmIA'",1.5,30,11,0.55,110.8,0,3.35,0,25,3
"b'-6eqFwbMqcKaKGiv0GB0_w'",2,2,1,1,241,0,1,0,1,0
"b'-6liIqXlqQWQ3Apm2y8OEg'",0,0,0,0,180,0,2,0,1,0
"b'-6mqEHZTdqoS98jyTS5BHQ'",1,1,1,1,135,0,5,0,1,0
"b'-7g0gtR-LKLlFKNLM1rZEQ'",0.25,1,4,1,57.5,0,2.5,0,8,1
